Google,https://www.google.com/,715
"Google Calendar - Schedule starting Sunday, April 21, 2019",https://www.google.com/calendar?tab=wc,2806
Google,http://www.google.com/,6022
"Google Custom Search",https://www.google.com/?cx=partner-pub-7233843800519946%3A6667570044&ie=UTF-8&q=Brandi+Carlile&sa=,6264
"Google Custom Search",https://www.google.com/cse?cx=partner-pub-7233843800519946:6667570044&ie=UTF-8&q=Brandi+Carlile,6265
"Google Custom Search",https://www.google.com/?cx=partner-pub-7233843800519946%3A6667570044&ie=UTF-8&q=v4n5v4&sa=,6267
"Google Custom Search",https://www.google.com/cse?cx=partner-pub-7233843800519946:6667570044&ie=UTF-8&q=v4n5v4,6268
"V4N5V4 British Columbia | List of individuals living in postal code V4N5V4 of British Columbia Canada sorted by address | Locate people by address",https://www.google.com/url?client=internal-uds-cse&cx=partner-pub-7233843800519946:6667570044&q=https://www.locatefamily.com/Street-Lists/Canada/BC/V4N/V4N5V4/index.html&sa=U&ved=2ahUKEwjVrYfh9JjiAhVDJzQIHdfpBcgQFjAAegQIABAC&usg=AOvVaw0PRlT_c-naf6ug_kg9yQQu,6270
"Google Custom Search",https://www.google.com/?cx=partner-pub-7233843800519946%3A6667570044&ie=UTF-8&q=18497+76+ave&sa=,6275
"Google Custom Search",https://www.google.com/cse?cx=partner-pub-7233843800519946:6667570044&ie=UTF-8&q=18497+76+ave,6276
"V4N3G5 British Columbia | List of individuals living in postal code V4N3G5 of British Columbia Canada sorted by address | Locate people by address",https://www.google.com/url?client=internal-uds-cse&cx=partner-pub-7233843800519946:6667570044&q=https://www.locatefamily.com/Street-Lists/Canada/BC/V4N/V4N3G5/index.html&sa=U&ved=2ahUKEwj49bek9ZjiAhVfJjQIHTsiCBsQFjAAegQIAhAC&usg=AOvVaw2Ubev4uW8pcmPr9qS6X41T,6278
"Google Contacts",https://www.google.com/contacts/u/0/#contact/48b52c1e0d4c3e8a,6843
"Google Image Result for http://i287.photobucket.com/albums/ll149/glittergn/dragon/dragon003.gif",https://www.google.com/imgres?imgurl=http://i287.photobucket.com/albums/ll149/glittergn/dragon/dragon003.gif&imgrefurl=http://www.glittergraphicsnow.com/dragons.html&usg=__x4WbLEOHSkbOMpH0kUesPISrvRw%3D&h=352&w=479&sz=225&hl=en&start=4&um=1&tbnid=9CmoGsoMf5HorM,7206
